country,country_code,year,male,female
Afghanistan,AFG,1960,31.589,33.105
Afghanistan,AFG,1961,32.035,33.557
Afghanistan,AFG,1962,32.476,34.001
Afghanistan,AFG,1963,32.913,34.44
Afghanistan,AFG,1964,33.348,34.875
Afghanistan,AFG,1965,33.781,35.307
Afghanistan,AFG,1966,34.214,35.738
Afghanistan,AFG,1967,34.646,36.17
Afghanistan,AFG,1968,35.079,36.603
Afghanistan,AFG,1969,35.516,37.042
Afghanistan,AFG,1970,35.956,37.487
Afghanistan,AFG,1971,36.403,37.94
Afghanistan,AFG,1972,36.856,38.402
Afghanistan,AFG,1973,37.32,38.875
Afghanistan,AFG,1974,37.797,39.363
Afghanistan,AFG,1975,38.291,39.866
Afghanistan,AFG,1976,38.804,40.386
Afghanistan,AFG,1977,39.336,40.923
Afghanistan,AFG,1978,39.892,41.482
Afghanistan,AFG,1979,40.474,42.066
Afghanistan,AFG,1980,41.089,42.685
Afghanistan,AFG,1981,41.744,43.349
Afghanistan,AFG,1982,42.44,44.061
Afghanistan,AFG,1983,43.173,44.819
Afghanistan,AFG,1984,43.94,45.619
Afghanistan,AFG,1985,44.738,46.458
Afghanistan,AFG,1986,45.565,47.332
Afghanistan,AFG,1987,46.41,48.227
Afghanistan,AFG,1988,47.259,49.126
Afghanistan,AFG,1989,48.096,50.013
Afghanistan,AFG,1990,48.903,50.867
Afghanistan,AFG,1991,49.66,51.671
Afghanistan,AFG,1992,50.36,52.416
Afghanistan,AFG,1993,50.997,53.098
Afghanistan,AFG,1994,51.568,53.713
Afghanistan,AFG,1995,52.075,54.257
Afghanistan,AFG,1996,52.524,54.734
Afghanistan,AFG,1997,52.931,55.159
Afghanistan,AFG,1998,53.312,55.548
Afghanistan,AFG,1999,53.678,55.911
Afghanistan,AFG,2000,54.041,56.265
Afghanistan,AFG,2001,54.409,56.62
Afghanistan,AFG,2002,54.785,56.983
Afghanistan,AFG,2003,55.167,57.357
Afghanistan,AFG,2004,55.559,57.747
Afghanistan,AFG,2005,55.957,58.151
Afghanistan,AFG,2006,56.355,58.564
Afghanistan,AFG,2007,56.747,58.975
Afghanistan,AFG,2008,57.126,59.379
Afghanistan,AFG,2009,57.491,59.772
Afghanistan,AFG,2010,57.844,60.154
Afghanistan,AFG,2011,58.186,60.527
Afghanistan,AFG,2012,58.524,60.893
Afghanistan,AFG,2013,58.859,61.256
Afghanistan,AFG,2014,59.193,61.615
Afghanistan,AFG,2015,59.524,61.97
Argentina,ARG,1960,62.417,68.154
Argentina,ARG,1961,62.459,68.362
Argentina,ARG,1962,62.477,68.536
Argentina,ARG,1963,62.485,68.685
Argentina,ARG,1964,62.499,68.82
Argentina,ARG,1965,62.536,68.958
Argentina,ARG,1966,62.612,69.111
Argentina,ARG,1967,62.731,69.289
Argentina,ARG,1968,62.893,69.495
Argentina,ARG,1969,63.099,69.733
Argentina,ARG,1970,63.344,70
Argentina,ARG,1971,63.618,70.291
Argentina,ARG,1972,63.906,70.593
Argentina,ARG,1973,64.198,70.896
Argentina,ARG,1974,64.485,71.196
Argentina,ARG,1975,64.766,71.494
Argentina,ARG,1976,65.045,71.793
Argentina,ARG,1977,65.327,72.097
Argentina,ARG,1978,65.612,72.407
Argentina,ARG,1979,65.897,72.718
Argentina,ARG,1980,66.174,73.022
Argentina,ARG,1981,66.433,73.308
Argentina,ARG,1982,66.668,73.571
Argentina,ARG,1983,66.877,73.806
Argentina,ARG,1984,67.062,74.016
Argentina,ARG,1985,67.227,74.206
Argentina,ARG,1986,67.382,74.387
Argentina,ARG,1987,67.538,74.569
Argentina,ARG,1988,67.702,74.762
Argentina,ARG,1989,67.879,74.969
Argentina,ARG,1990,68.07,75.191
Argentina,ARG,1991,68.275,75.426
Argentina,ARG,1992,68.487,75.666
Argentina,ARG,1993,68.702,75.905
Argentina,ARG,1994,68.917,76.142
Argentina,ARG,1995,69.13,76.377
Argentina,ARG,1996,69.341,76.611
Argentina,ARG,1997,69.55,76.844
Argentina,ARG,1998,69.755,77.079
Argentina,ARG,1999,69.955,77.313
Argentina,ARG,2000,70.148,77.544
Argentina,ARG,2001,70.333,77.769
Argentina,ARG,2002,70.507,77.987
Argentina,ARG,2003,70.672,78.194
Argentina,ARG,2004,70.83,78.392
Argentina,ARG,2005,70.98,78.581
Argentina,ARG,2006,71.126,78.76
Argentina,ARG,2007,71.271,78.934
Argentina,ARG,2008,71.417,79.103
Argentina,ARG,2009,71.567,79.27
Argentina,ARG,2010,71.724,79.434
Argentina,ARG,2011,71.891,79.595
Argentina,ARG,2012,72.066,79.754
Argentina,ARG,2013,72.25,79.909
Argentina,ARG,2014,72.443,80.06
Argentina,ARG,2015,72.643,80.21
Australia,AUS,1960,67.0000000000000,74
Australia,AUS,1961,67.9,74.2
Australia,AUS,1962,67.84,74.2
Australia,AUS,1963,67.78,74.2
Australia,AUS,1964,67.72,74.2
Australia,AUS,1965,67.66,74.2
Australia,AUS,1966,67.6,74.2
Australia,AUS,1967,67.64,74.26
Australia,AUS,1968,67.68,74.32
